Accident_ID,Accident_Severity,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Time,Age_of_Vehicle,Number_of_Vehicles,Number_of_Casualties,Vehicle_Type,Vehicle_Manoeuvre,Sex_of_Driver,Age_Band_of_Driver,Driver_Home_Area_Type,Junction_Control,Carriageway_Hazards,Skidding_and_Overturning,Hit_Object_in_Carriageway,latitude,longitude
ACC01463,3,78.769645499711,Darkness - lights unlit,Rain,Dry,Rural,Night,16,4,6,Bus,Going ahead,Male,46-55,Rural area,Not at junction,Previous accident,Overturned,Other object,51.8202266782052,-0.0167158976897316
ACC01464,1,-9.04054134880151,Daylight,Mist,Dry,Urban,Morning,1,6,5,Car,Going ahead,Male,26-35,Urban area,Auto traffic signal,,,Other object,51.9628878885047,-0.377782764757261
ACC01465,2,69.6046064940811,Darkness,Rain,Wet,Rural,Evening,21,1,2,Car,Slowing or stopping,Male,36-45,Urban area,Uncontrolled,Parked vehicle,,Central island,51.6685189901465,0.391244363214789
ACC01466,2,35.8162664453272,Daylight,Fine,Dry,Rural,Night,9,1,1,Car,Going ahead,Male,46-55,Urban area,Give way,,,Central island,51.2318551679873,-0.19408383071946
ACC01467,3,73.339190489054,Darkness,Rain,Dry,Rural,Early Morning,8,2,4,Bus,Turning right,Female,65+,Rural area,Not at junction,Previous accident,Skidded,Kerb,52.6261496864373,-0.148193348317545
ACC01468,1,8.47098395357561,Darkness,Fine,Dry,Urban,Afternoon,6,4,3,Car,Turning right,Female,36-45,Urban area,Auto traffic signal,Parked vehicle,,Central island,52.2720414736522,-0.492109161137331
ACC01469,3,66.5847302328654,Darkness,Snow,Wet,Rural,Early Morning,2,4,5,Truck,Turning right,Female,56-65,Rural area,Not at junction,Previous accident,Skidded,Other object,52.4039678397443,0.237219285930084
ACC01470,1,61.9599061034776,Daylight,Fine,Dry,Urban,Afternoon,11,1,3,Car,Going ahead,Male,26-35,Urban area,Give way,,,,51.4114939615696,0.100073274498
ACC01471,1,14.5995625940516,Daylight,Mist,Dry,Urban,Afternoon,18,1,3,Motorcycle,Turning right,Female,36-45,Urban area,Give way,,,,52.2343552673285,0.321926818612921
ACC01472,2,31.6472004361622,Darkness,Snow,Dry,Rural,Night,1,3,6,Car,Slowing or stopping,Male,36-45,Rural area,Uncontrolled,Previous accident,,Central island,51.5809879239076,0.0702271832205558
ACC01473,3,83.6637665291875,Darkness,Rain,Wet,Urban,Early Morning,12,5,2,Motorcycle,Overtaking,Female,65+,Rural area,Not at junction,Previous accident,Overturned,Kerb,51.287099547138,-0.491087185350295
ACC01474,3,66.2083187043578,Darkness,Rain,Snow,Rural,Early Morning,26,1,6,Motorcycle,Turning right,Male,36-45,Rural area,Give way,Previous accident,Overturned,Other object,51.4211000095843,-0.386455872438672
ACC01475,2,71.0753680074095,Darkness,Fine,Icy,Urban,Evening,1,3,1,Truck,Slowing or stopping,Female,56-65,Urban area,Uncontrolled,Parked vehicle,,,52.2428289989487,-0.0198893810320747
ACC01476,3,29.6762237372475,Darkness,Fog,Icy,Urban,Night,3,4,2,Truck,Overtaking,Male,65+,Urban area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,51.8968407734479,-0.495799766106429
ACC01477,2,40.789887067296,Darkness,Rain,Wet,Urban,Evening,10,1,2,Motorcycle,Slowing or stopping,Male,46-55,Urban area,Auto traffic signal,Parked vehicle,,Central island,51.5865864778475,0.029180953878414
ACC01478,2,1.50360036362958,Darkness - lights unlit,Fog,Wet,Urban,Night,7,7,3,Truck,Slowing or stopping,Female,36-45,Rural area,Give way,Parked vehicle,,Central island,51.2679812609161,-0.188229230743784
ACC01479,1,64.6275104945877,Daylight,Fine,Dry,Urban,Morning,6,1,1,Car,Going ahead,Male,36-45,Urban area,Give way,Parked vehicle,Skidded,Kerb,52.614185060218,0.482046817789755
ACC01480,2,24.1556241120472,Darkness,Rain,Wet,Rural,Night,9,2,1,Truck,Slowing or stopping,Female,36-45,Rural area,Uncontrolled,Parked vehicle,,Central island,51.8548343080933,0.26825531139728
ACC01481,3,66.5955571657728,Darkness,Fog,Icy,Urban,Night,1,1,1,Motorcycle,Turning right,Female,56-65,Rural area,Not at junction,Previous accident,Skidded,Kerb,52.4892376139761,-0.2920931034098
ACC01482,3,33.8622187743471,Darkness,Rain,Wet,Rural,Early Morning,2,4,5,Bus,Overtaking,Male,36-45,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Kerb,52.2281503855226,-0.552410509008333
ACC01483,2,30.0127471651204,Darkness,Rain,Snow,Urban,Evening,1,2,1,Truck,Turning right,Female,36-45,Rural area,Auto traffic signal,Previous accident,,Central island,52.6039560105765,0.256315173906704
ACC01484,2,30.0939123390133,Darkness,Fine,Wet,Urban,Evening,19,1,2,Motorcycle,Turning right,Male,46-55,Rural area,Give way,Parked vehicle,,Central island,51.7828655718439,-0.0517139755215061
ACC01485,2,39.8623840934952,Daylight,Rain,Dry,Rural,Night,23,1,1,Car,Turning right,Female,46-55,Rural area,Auto traffic signal,Previous accident,Overturned,,52.1154189674243,0.19165855564989
ACC01486,3,100.560956994278,Darkness,Rain,Wet,Rural,Early Morning,18,4,4,Car,Turning right,Male,65+,Urban area,Auto traffic signal,Previous accident,Skidded,Other object,51.0760892048322,-0.0405301575996672
ACC01487,2,21.4908183081805,Daylight,Snow,Snow,Urban,Night,20,3,1,Motorcycle,Slowing or stopping,Female,36-45,Urban area,Give way,Previous accident,,Central island,51.268508833117,-0.251209340867754
ACC01488,1,-2.75254040616214,Darkness - lights unlit,Fine,Dry,Urban,Morning,1,1,1,Van,Turning right,Male,36-45,Urban area,Uncontrolled,,,,52.6338195396981,0.200733237671142
ACC01489,3,71.9396186125341,Darkness,Rain,Icy,Rural,Night,8,8,5,Truck,Turning right,Female,65+,Urban area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,52.2414807725017,0.148700031691406
ACC01490,1,16.9433450025936,Daylight,Fine,Dry,Urban,Morning,15,1,5,Van,Going ahead,Male,36-45,Urban area,Give way,Parked vehicle,,,51.4991061352496,-0.303275427331311
ACC01491,1,-5.45241161965666,Daylight,Fine,Dry,Urban,Night,8,2,3,Motorcycle,Slowing or stopping,Male,36-45,Urban area,Give way,Parked vehicle,,,51.4291428053848,0.381293157834258
ACC01492,1,30.5791286473435,Darkness,Fine,Dry,Urban,Morning,6,2,1,Van,Turning right,Male,36-45,Urban area,Give way,,,Kerb,51.2049637058214,-0.292796302700149
ACC01493,2,9.72735615290022,Daylight,Snow,Wet,Rural,Evening,11,3,1,Truck,Slowing or stopping,Female,46-55,Urban area,Auto traffic signal,,,,51.3633120572494,0.412841295534552
ACC01494,1,30.1966869959199,Daylight,Fine,Dry,Urban,Afternoon,1,2,1,Motorcycle,Turning right,Male,36-45,Urban area,Give way,,Overturned,Other object,51.7915166308252,0.354710123972024
ACC01495,2,10.5634338680835,Street lights,Fine,Dry,Urban,Night,14,1,1,Car,Turning right,Male,36-45,Rural area,Uncontrolled,Parked vehicle,Overturned,Central island,52.4918274223511,-0.23885649910329
ACC01496,3,76.2185516375535,Darkness,Rain,Icy,Rural,Night,19,8,2,Truck,Turning right,Male,46-55,Urban area,Not at junction,Previous accident,Overturned,Kerb,51.3472481235749,0.0236696883634708
ACC01497,1,52.8626784935296,Daylight,Fine,Dry,Urban,Afternoon,26,1,1,Car,Going ahead,Male,26-35,Urban area,Auto traffic signal,,,,51.0878589259866,-0.111874758764972
ACC01498,2,-23.0780757317644,Daylight,Rain,Wet,Rural,Night,10,3,1,Car,Turning right,Male,46-55,Rural area,Auto traffic signal,,,Central island,52.5895751338642,0.0687870543161914
ACC01499,2,42.1412117910887,Daylight,Fine,Dry,Rural,Early Morning,1,2,1,Truck,Slowing or stopping,Female,46-55,Rural area,Give way,Parked vehicle,Skidded,Central island,51.2025669774188,-0.441836309682189
ACC01500,2,-6.06372897188165,Daylight,Rain,Snow,Rural,Evening,15,1,1,Car,Going ahead,Male,46-55,Urban area,Give way,Pedestrian in carriageway,,Central island,51.9911110211077,-0.147058994750985
ACC01501,3,60.1261559903406,Darkness,Snow,Wet,Rural,Night,32,4,4,Bus,Turning right,Male,26-35,Urban area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,52.3089534981178,0.30058068436304
ACC01502,3,91.8304709836814,Darkness,Rain,Icy,Rural,Night,20,1,3,Bus,Turning right,Female,36-45,Urban area,Uncontrolled,Pedestrian in carriageway,Skidded,Kerb,51.3337613807857,0.309912178542183
ACC01503,2,33.0327835068438,Street lights,Rain,Snow,Urban,Evening,4,5,2,Car,Going ahead,Male,36-45,Rural area,Auto traffic signal,Previous accident,Skidded,Central island,51.958320055231,-0.180742353177723
ACC01504,1,25.1181885741241,Daylight,Fine,Dry,Urban,Morning,1,2,1,Car,Turning right,Male,36-45,Urban area,Auto traffic signal,Previous accident,,,51.922583341369,-0.299010667090168
ACC01505,3,84.7477501862189,Darkness,Snow,Icy,Rural,Early Morning,5,6,4,Bus,Turning right,Female,46-55,Urban area,Not at junction,Previous accident,Overturned,Other object,52.4295695444879,-0.537473812117726
ACC01506,1,55.4689520076515,Daylight,Fine,Dry,Rural,Afternoon,14,4,1,Car,Turning right,Male,36-45,Urban area,Auto traffic signal,,Overturned,,52.2278537841546,0.469205862594691
ACC01507,3,86.6887491305662,Darkness,Fog,Icy,Rural,Early Morning,16,4,4,Truck,Turning right,Female,46-55,Rural area,Uncontrolled,Previous accident,Skidded,Kerb,51.7042053211325,-0.318330947031053
ACC01508,3,68.7032994589416,Street lights,Fog,Wet,Rural,Early Morning,32,1,4,Motorcycle,Turning right,Female,56-65,Rural area,Give way,Previous accident,Skidded,Kerb,51.8893022436272,0.176420451143384
ACC01509,2,14.9257749192576,Daylight,Fine,Wet,Rural,Night,8,2,1,Car,Turning right,Female,36-45,Urban area,Give way,,Skidded,,51.839757480119,-0.072913717865014
ACC01510,2,52.8885042345974,Daylight,Fine,Wet,Rural,Evening,9,5,6,Car,Slowing or stopping,Male,26-35,Rural area,Uncontrolled,Parked vehicle,,,52.3586860806956,-0.259740548361507
ACC01511,1,49.7985270720056,Daylight,Fine,Dry,Urban,Afternoon,1,1,3,Bus,Turning right,Male,26-35,Rural area,Auto traffic signal,,,,52.3511792160208,-0.0584943579071616
ACC01512,1,49.6988827694966,Street lights,Fine,Dry,Urban,Morning,1,1,3,Van,Going ahead,Male,26-35,Urban area,Auto traffic signal,,Skidded,,52.3834515335018,-0.459515168001242
ACC01513,2,53.8029598425043,Daylight,Fog,Wet,Urban,Evening,18,5,1,Motorcycle,Slowing or stopping,Female,46-55,Urban area,Uncontrolled,,,Central island,51.6388513338897,0.443834144412686
ACC01514,2,16.5026411421462,Daylight,Rain,Wet,Urban,Night,20,5,1,Truck,Turning right,Female,46-55,Urban area,Give way,,,Central island,51.9608357860022,0.49617427911714
ACC01515,3,38.73799693392,Daylight,Rain,Icy,Rural,Night,1,1,2,Van,Overtaking,Female,56-65,Urban area,Uncontrolled,Pedestrian in carriageway,Overturned,Kerb,52.6068271130808,0.33183334878119
ACC01516,2,35.6246717361689,Daylight,Fine,Wet,Urban,Early Morning,1,2,3,Truck,Turning right,Male,46-55,Urban area,Not at junction,Previous accident,Skidded,,52.1372177909931,-0.100778330617321
ACC01517,1,18.0262971518076,Street lights,Fine,Wet,Urban,Afternoon,1,4,1,Motorcycle,Turning right,Male,26-35,Urban area,Give way,,,,52.3711539513645,-0.206421908142014
ACC01518,1,26.713080882071,Daylight,Fine,Wet,Urban,Afternoon,12,1,1,Motorcycle,Going ahead,Male,26-35,Urban area,Auto traffic signal,,,,52.5552380318158,0.32612692347099
ACC01519,2,21.4286237639938,Darkness,Rain,Wet,Urban,Early Morning,12,1,4,Motorcycle,Turning right,Female,46-55,Rural area,Auto traffic signal,Previous accident,,,51.9252245146426,-0.522264990661114
ACC01520,1,57.3253043664213,Daylight,Fine,Dry,Urban,Afternoon,1,1,1,Car,Going ahead,Male,36-45,Urban area,Give way,,Skidded,Central island,51.1210207023824,0.387833603844986
ACC01521,2,22.0252261071725,Darkness,Fine,Wet,Rural,Night,1,3,1,Motorcycle,Turning right,Female,26-35,Rural area,Not at junction,,,,52.1834480723955,0.0566563155300807
ACC01522,3,37.686556678516,Darkness,Fine,Icy,Urban,Night,28,5,2,Motorcycle,Turning right,Female,65+,Urban area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,52.5496497577121,0.400026802728022
ACC01523,3,51.54560789451,Darkness,Rain,Wet,Rural,Night,24,2,4,Truck,Turning right,Male,36-45,Urban area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,52.4755888185796,0.234621283663828
ACC01524,1,31.3683936157621,Daylight,Fine,Dry,Urban,Morning,1,1,3,Motorcycle,Turning right,Female,26-35,Rural area,Give way,,,,51.9800780083742,-0.0896754855064339
ACC01525,2,34.3569602992941,Daylight,Rain,Snow,Urban,Evening,17,3,4,Truck,Going ahead,Male,26-35,Urban area,Not at junction,Parked vehicle,,Central island,52.4208386419687,0.110015268069985
ACC01526,3,70.8353798372185,Street lights,Rain,Icy,Rural,Afternoon,9,5,5,Van,Turning right,Female,46-55,Rural area,Not at junction,Previous accident,Skidded,Kerb,51.9132942455881,-0.353186983791734
ACC01527,1,25.068640884284,Daylight,Fine,Dry,Urban,Afternoon,1,6,1,Motorcycle,Turning right,Female,26-35,Urban area,Give way,,,,52.5977146101429,0.0105934442325149
ACC01528,1,64.3598015632508,Daylight,Fine,Dry,Urban,Early Morning,14,2,1,Motorcycle,Slowing or stopping,Male,36-45,Urban area,Auto traffic signal,,,,51.1834154258886,0.248014029108457
ACC01529,2,67.132016930573,Daylight,Fog,Dry,Rural,Evening,11,1,1,Motorcycle,Slowing or stopping,Female,46-55,Rural area,Uncontrolled,Previous accident,,Kerb,51.3577857691414,0.363134003334486
ACC01530,1,12.7983889277308,Daylight,Fine,Dry,Urban,Afternoon,3,1,1,Motorcycle,Turning right,Male,46-55,Urban area,Auto traffic signal,,Overturned,Other object,51.2639084180822,-0.0636716869592771
ACC01531,1,-8.91416628620354,Daylight,Fine,Dry,Rural,Afternoon,1,3,3,Motorcycle,Going ahead,Male,65+,Urban area,Auto traffic signal,Pedestrian in carriageway,Skidded,,52.0035014022752,0.440267961700311
ACC01532,2,32.8005815183051,Daylight,Rain,Wet,Urban,Afternoon,17,1,2,Motorcycle,Going ahead,Male,26-35,Rural area,Give way,Previous accident,Skidded,,52.4337657987594,-0.116972648289096
ACC01533,1,7.25834099358228,Daylight,Fine,Dry,Rural,Afternoon,1,2,5,Motorcycle,Turning right,Female,36-45,Urban area,Auto traffic signal,,,,52.4700280396336,0.354862359118196
ACC01534,2,5.43025589676463,Darkness,Mist,Dry,Urban,Night,18,5,1,Motorcycle,Turning right,Female,46-55,Urban area,Auto traffic signal,Previous accident,,Central island,51.9135525321469,-0.170381687330265
ACC01535,3,72.768842912863,Darkness - lights unlit,Fog,Icy,Rural,Night,15,3,5,Bus,Overtaking,Male,26-35,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,52.4310501357756,-0.2275183520202
ACC01536,1,39.7928601213688,Daylight,Mist,Wet,Urban,Afternoon,6,1,5,Van,Turning right,Male,26-35,Urban area,Auto traffic signal,,,Central island,51.9054493529735,0.324958737368515
ACC01537,2,62.4508559101331,Daylight,Rain,Dry,Rural,Night,2,4,3,Car,Slowing or stopping,Female,46-55,Rural area,Uncontrolled,,,Central island,52.3751764222703,0.0236455232026913
ACC01538,1,28.5216061206341,Daylight,Fine,Dry,Urban,Morning,4,1,3,Car,Turning right,Female,26-35,Urban area,Auto traffic signal,,,,52.1219728782581,0.124578553050964
ACC01539,3,65.6286200333665,Daylight,Snow,Icy,Rural,Night,4,3,4,Bus,Overtaking,Male,56-65,Rural area,Uncontrolled,Parked vehicle,Skidded,Kerb,51.641508743761,0.0738954285682282
ACC01540,2,24.5088352238866,Darkness,Rain,Dry,Urban,Evening,20,4,4,Motorcycle,Turning right,Male,46-55,Rural area,Uncontrolled,Previous accident,Skidded,Other object,51.2277977580496,0.231048975566466
ACC01541,3,57.4801106034694,Darkness,Rain,Wet,Rural,Night,10,6,2,Motorcycle,Slowing or stopping,Male,56-65,Rural area,Not at junction,Previous accident,Skidded,Other object,51.1357518385279,-0.445024729523502
ACC01542,1,-5.8870210645246,Daylight,Fine,Dry,Urban,Afternoon,1,1,3,Car,Going ahead,Male,26-35,Urban area,Give way,Parked vehicle,,,52.4193814025588,0.367540040446682
ACC01543,2,50.7786575703347,Darkness,Snow,Dry,Urban,Night,12,4,1,Car,Slowing or stopping,Male,65+,Rural area,Auto traffic signal,Pedestrian in carriageway,,Central island,51.5822499881138,0.3460184282005
ACC01544,3,43.6631782980562,Street lights,Mist,Icy,Urban,Night,12,6,2,Motorcycle,Overtaking,Male,65+,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Other object,51.1291690300748,-0.549655801534704
ACC01545,3,64.4144537816684,Darkness - lights unlit,Snow,Wet,Rural,Early Morning,28,1,1,Motorcycle,Overtaking,Male,46-55,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Other object,51.3766061094109,0.198050639514017
ACC01546,2,35.0661743274879,Daylight,Rain,Dry,Urban,Night,1,3,2,Car,Slowing or stopping,Female,46-55,Rural area,Give way,Parked vehicle,,,51.1845441082135,-0.386912463492484
ACC01547,3,77.7732602465839,Darkness - lights unlit,Rain,Icy,Rural,Night,14,6,4,Truck,Overtaking,Female,56-65,Urban area,Not at junction,Pedestrian in carriageway,Overturned,Other object,51.1649425664311,-0.100615182320827
ACC01548,3,70.6891813084724,Darkness,Mist,Wet,Rural,Night,35,3,1,Bus,Turning right,Female,56-65,Rural area,Not at junction,Previous accident,Skidded,Other object,51.381525698055,-0.0567301240828249
ACC01549,2,23.5446933600111,Daylight,Fine,Wet,Rural,Evening,12,1,1,Truck,Slowing or stopping,Male,36-45,Urban area,Give way,Parked vehicle,,Central island,51.1178376443312,0.0872134058971039
ACC01550,3,63.346236407119,Darkness,Rain,Icy,Rural,Night,15,2,4,Truck,Overtaking,Male,56-65,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,51.8905960423323,-0.329890324978669
ACC01551,1,45.3354903548058,Daylight,Fog,Wet,Urban,Morning,3,2,1,Motorcycle,Turning right,Female,36-45,Urban area,Auto traffic signal,,,,51.6192587637817,-0.0111588554021491
ACC01552,2,13.5369182102018,Daylight,Fine,Icy,Urban,Early Morning,5,7,1,Motorcycle,Slowing or stopping,Female,36-45,Urban area,Auto traffic signal,,,,51.2575195921509,0.0901901707986364
ACC01553,1,43.1495425417332,Daylight,Fine,Dry,Urban,Morning,10,4,1,Van,Turning right,Female,36-45,Urban area,Not at junction,Parked vehicle,,,51.4072552141339,0.280645369019991
ACC01554,2,53.2325398967598,Daylight,Snow,Wet,Rural,Night,9,4,1,Truck,Turning right,Male,36-45,Rural area,Uncontrolled,Parked vehicle,,,51.0979925825156,-0.184213072169042
ACC01555,3,72.7859464825139,Darkness - lights unlit,Fog,Icy,Rural,Early Morning,19,4,4,Motorcycle,Going ahead,Female,36-45,Rural area,Not at junction,Previous accident,Skidded,Kerb,51.4725714884542,-0.146993212212662
ACC01556,2,35.2145446533985,Darkness,Rain,Wet,Urban,Night,16,2,4,Truck,Slowing or stopping,Male,36-45,Urban area,Auto traffic signal,Previous accident,,,51.7932078848406,0.0942916244099076
ACC01557,3,65.4494859219297,Darkness,Fog,Icy,Rural,Night,23,3,4,Truck,Turning right,Male,56-65,Rural area,Uncontrolled,Previous accident,Skidded,Kerb,52.168846459817,-0.0727196515003258
ACC01558,1,29.7939993015339,Street lights,Mist,Dry,Urban,Early Morning,1,1,3,Van,Going ahead,Male,26-35,Urban area,Auto traffic signal,,,Other object,52.3847770243934,0.206081699242876
ACC01559,3,82.0923313088043,Darkness,Rain,Dry,Rural,Morning,23,1,4,Motorcycle,Turning right,Female,56-65,Rural area,Uncontrolled,Previous accident,Overturned,Other object,51.0431812902909,-0.0836360177389737
ACC01560,3,34.2522969569786,Darkness - lights unlit,Fog,Icy,Rural,Night,25,8,3,Truck,Turning right,Female,56-65,Rural area,Give way,Pedestrian in carriageway,Overturned,Kerb,51.4380982145861,0.168598047273988
ACC01561,3,66.159921552617,Darkness,Rain,Icy,Rural,Night,27,2,3,Bus,Turning right,Female,65+,Rural area,Uncontrolled,Previous accident,Skidded,Other object,51.5288686175859,0.161214729625803
ACC01562,1,20.5751578210461,Daylight,Fine,Dry,Urban,Afternoon,17,1,1,Car,Overtaking,Female,36-45,Urban area,Auto traffic signal,,,,51.6228151335993,0.315347595753516
ACC01563,3,76.570573824521,Darkness,Rain,Wet,Rural,Early Morning,25,4,2,Motorcycle,Overtaking,Female,46-55,Urban area,Uncontrolled,Previous accident,Skidded,Kerb,52.319369880473,-0.502466882519933
ACC01564,1,34.3555005267311,Daylight,Rain,Dry,Urban,Afternoon,1,7,5,Van,Turning right,Female,56-65,Urban area,Give way,,,,51.4039838247871,0.429833470868059
ACC01565,1,12.2348552197408,Daylight,Fine,Dry,Urban,Morning,31,1,3,Car,Turning right,Male,46-55,Urban area,Not at junction,,Skidded,,51.7705910190716,-0.300855301258506
ACC01566,3,52.2174300037842,Darkness,Rain,Icy,Urban,Afternoon,17,6,4,Motorcycle,Going ahead,Male,46-55,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,51.3038257611442,-0.47672184438392
ACC01567,1,24.3073675498899,Darkness,Rain,Wet,Urban,Afternoon,1,1,1,Car,Turning right,Female,56-65,Urban area,Give way,,,,51.3084402396527,0.195095733529332
ACC01568,2,49.2927582682986,Darkness,Fine,Wet,Urban,Evening,11,4,1,Truck,Turning right,Female,46-55,Urban area,Uncontrolled,Parked vehicle,,,52.6825289137927,-0.347639455832715
ACC01569,2,35.0159387841474,Daylight,Snow,Wet,Urban,Evening,1,1,1,Car,Slowing or stopping,Female,46-55,Urban area,Auto traffic signal,Parked vehicle,Overturned,Central island,52.1488446381676,-0.182048262337851
ACC01570,3,88.7578596205477,Darkness,Snow,Icy,Urban,Night,18,4,4,Motorcycle,Overtaking,Female,46-55,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Other object,51.1728192188085,-0.500643449239184
ACC01571,1,24.0009573970101,Daylight,Rain,Dry,Urban,Afternoon,1,1,1,Van,Going ahead,Male,36-45,Urban area,Give way,Parked vehicle,Skidded,Kerb,52.3817592643378,-0.155249355085279
ACC01572,3,45.7681683208423,Darkness,Rain,Wet,Rural,Early Morning,18,1,8,Motorcycle,Turning right,Male,56-65,Rural area,Not at junction,Previous accident,Skidded,Kerb,51.5349812676157,0.370641467905834
ACC01573,1,29.0850998717443,Daylight,Fine,Dry,Urban,Morning,9,2,1,Van,Going ahead,Male,26-35,Urban area,Give way,,,,51.2367625235278,-0.393172791923042
ACC01574,1,19.0768809304896,Daylight,Mist,Dry,Urban,Afternoon,1,2,3,Van,Going ahead,Male,36-45,Urban area,Not at junction,,Overturned,,52.3597539351104,-0.378499839650428
ACC01575,3,59.3260335833157,Darkness,Rain,Wet,Rural,Early Morning,1,6,2,Motorcycle,Overtaking,Male,56-65,Urban area,Uncontrolled,Previous accident,Skidded,Other object,52.2931809782466,-0.113449258001387
ACC01576,3,75.2000132175193,Darkness,Fog,Icy,Rural,Night,12,2,1,Motorcycle,Turning right,Male,56-65,Rural area,Uncontrolled,Previous accident,Skidded,Other object,52.3447176428419,-0.450490170360522
ACC01577,1,58.6374374355579,Daylight,Fine,Wet,Urban,Morning,5,4,5,Van,Turning right,Male,36-45,Urban area,Give way,,,Kerb,51.1333758482819,-0.566574234333479
ACC01578,2,46.046773783078,Darkness,Rain,Icy,Rural,Morning,7,3,1,Truck,Turning right,Female,46-55,Urban area,Give way,Previous accident,Skidded,,51.291434747607,0.0429566395816456
ACC01579,1,42.1660127207217,Darkness,Rain,Dry,Urban,Morning,1,4,1,Motorcycle,Going ahead,Female,26-35,Urban area,Auto traffic signal,,,,51.8845230915365,-0.0471773158902132
ACC01580,3,108.471645256036,Darkness,Rain,Wet,Rural,Night,13,4,2,Truck,Turning right,Female,56-65,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Other object,51.6261990077302,-0.401056181761941
ACC01581,2,43.9290876773219,Street lights,Fine,Wet,Rural,Early Morning,6,3,3,Car,Turning right,Female,36-45,Rural area,Uncontrolled,Parked vehicle,Skidded,,51.173284241527,0.130191115775311
ACC01582,1,23.2301865045031,Daylight,Fine,Wet,Rural,Afternoon,9,2,1,Van,Going ahead,Male,36-45,Urban area,Auto traffic signal,,,Central island,51.877710592112,0.151572831118611
ACC01583,1,42.0540931292995,Daylight,Mist,Dry,Rural,Afternoon,13,4,1,Van,Overtaking,Female,26-35,Urban area,Give way,,,,51.9224958790029,-0.0997861588027548
ACC01584,1,25.2096255726699,Darkness,Fine,Wet,Urban,Morning,1,4,1,Motorcycle,Going ahead,Male,36-45,Urban area,Auto traffic signal,Pedestrian in carriageway,,,51.1952226020566,-0.227905743406052
ACC01585,1,32.0710929179893,Daylight,Fine,Dry,Urban,Morning,15,2,3,Car,Turning right,Male,26-35,Urban area,Give way,,,,52.3518165311068,0.0796319642213353
ACC01586,3,80.8027389121409,Darkness,Snow,Wet,Rural,Early Morning,23,2,2,Truck,Going ahead,Female,56-65,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Kerb,51.6746639927443,-0.199007171369994
ACC01587,2,30.0534017941305,Darkness - lights unlit,Rain,Wet,Rural,Evening,17,3,1,Car,Turning right,Male,36-45,Urban area,Auto traffic signal,Parked vehicle,,,51.3268959294928,0.213924376617449
ACC01588,1,5.51680862353681,Daylight,Fine,Dry,Urban,Morning,21,1,3,Car,Turning right,Female,36-45,Urban area,Give way,,,,52.0612045930538,0.280078065569076
ACC01589,2,29.4489137948905,Darkness,Fine,Dry,Urban,Evening,1,4,1,Car,Turning right,Female,46-55,Rural area,Give way,,Skidded,Other object,52.5491167647823,-0.134414942957588
ACC01590,2,30.5182162529048,Daylight,Snow,Wet,Urban,Night,31,4,4,Motorcycle,Slowing or stopping,Female,46-55,Rural area,Auto traffic signal,Previous accident,Skidded,Central island,52.0743695580716,-0.558255296736142
ACC01591,2,55.2662399637542,Darkness,Fine,Dry,Urban,Evening,1,1,5,Bus,Slowing or stopping,Female,46-55,Urban area,Give way,Parked vehicle,,Central island,52.4895795983238,0.341573446434658
ACC01592,3,78.4496967446658,Darkness,Rain,Wet,Rural,Night,14,2,6,Truck,Turning right,Male,65+,Rural area,Uncontrolled,Previous accident,Overturned,Other object,52.208222424558,-0.537635688132313
ACC01593,2,0.587943586407171,Darkness - lights unlit,Rain,Dry,Urban,Evening,7,1,1,Truck,Turning right,Male,36-45,Rural area,Give way,Previous accident,,Central island,51.3965323470983,0.0665451903084821
ACC01594,1,46.7531267610386,Daylight,Fine,Dry,Rural,Morning,1,3,3,Car,Going ahead,Male,36-45,Urban area,Auto traffic signal,Parked vehicle,,,51.4410198368332,-0.0668340841569482
ACC01595,2,88.5056075029699,Darkness,Rain,Dry,Rural,Afternoon,14,3,1,Car,Turning right,Female,36-45,Urban area,Auto traffic signal,Parked vehicle,,Central island,51.2543160154509,-0.422948963797598
ACC01596,1,33.6649785002941,Daylight,Mist,Wet,Urban,Afternoon,12,1,1,Motorcycle,Going ahead,Male,26-35,Urban area,Give way,,,,52.2403305031747,-0.149732593053453
ACC01597,3,89.7784402953579,Darkness,Rain,Icy,Urban,Early Morning,15,5,4,Truck,Turning right,Male,56-65,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Other object,52.1119597973879,-0.224904704968793
